_inputshopbuymultiple;VÁSÁRLÁS
122105_default_deck;Sigismund Dijkstra paklija
131101_default_deck;Eredin paklija
132103_default_deck;Erdő szellemének paklija
200055_default_deck;Láthatatlan ős paklija
200158_default_deck;Dagon paklija
200159_default_deck;Bran paklija
200160_default_deck;Crach paklija
200161_default_deck;Harald paklija
200162_default_deck;Emhyr paklija
200163_default_deck;Voorhis paklija
200164_default_deck;Calveit paklija
200165_default_deck;Francesca paklija
200166_default_deck;Eithne paklija
200167_default_deck;Brouver paklija
200168_default_deck;Foltest paklija
200169_default_deck;Radovid paklija
200170_default_deck;Henselt paklija
201580_default_deck;Bitorló paklija
201587_default_deck;Suttogó bucka paklija
201589_default_deck;Filavandrel paklija
201595_default_deck;Adda paklija
201597_default_deck;Eist paklija
201743_default_deck;Arakász királynő paklija
202115_default_deck;Eldain paklija
202116_default_deck;Meve paklija
202117_default_deck;Gernichora paklija
202118_default_deck;Ardal Aep Dahy paklija
202119_default_deck;Apagyilkos Arnjolf paklija
202148_default_deck;Demavend paklija
202185_default_deck;Dettlaff paklija
202186_default_deck;Anna paklija
202187_default_deck;Calanthe paklija
202188_default_deck;Dana paklija
202189_default_deck;Svalblod paklija
202303_default_deck;Kurafi Kölyök paklija
202328_default_deck;Koldusok királyának paklija
202347_default_deck;Cyrus Hemmelfart paklija
202373_default_deck;Gudrun Bjornsdottir paklija
202390_default_deck;Trancsír paklija
38512;N/A
6100_title;Bárány keret
accept_eula_button;Elolvastam, és elfogadom a megállapodást
accept_invite_fail_message_description;Nem fogadták el a meghívást
accept_invite_fail_message_title;Meghívási hiba
accept_invite_fail_session_full;Nem lehet csatlakozni, a szakasz már tele van.
achievement_10001_desc;Teljesítsd az oktatást
achievement_10001_title;Mesteri alapok
achievement_10002_desc;Költs el jutalompontot!
achievement_10002_title;Megjutalmazott erőfeszítés
achievement_10003_desc;Oldj fel egy vezető díszítést a Jutalmak Könyvében!
achievement_10003_title;Díszes!
achievement_10100_desc;Költs el 100 hulladékot!
achievement_10100_title;Gyártás 101
achievement_10101_desc;Költs el 1,000 hulladékot!
achievement_10101_title;Nem lehet elég
achievement_10102_desc;Költs el 10,000 hulladékot!
achievement_10102_title;Küldetéstudat
achievement_10103_desc;Költs el 20,000 hulladékot!
achievement_10103_title;Anyagváltoztató
achievement_10104_desc;Költs el 50,000 hulladékot!
achievement_10104_title;Mindet legyártjuk
achievement_10200_desc;Költs el 100 ércet!
achievement_10200_title;Óh nézd, egy hordó!
achievement_10201_desc;Költs el 1,000 ércet!
achievement_10201_title;Óh, én Gwentem!
achievement_10202_desc;Költs el 10,000 ércet!
achievement_10202_title;Százszor száz
achievement_10203_desc;Költs el 20,000 ércet!
achievement_10203_title;Tékozló
achievement_10204_desc;Költs el 50,000 ércet!
achievement_10204_title;Mocsok gazdag
achievement_10300_desc;Költs el 100 meteoritport!
achievement_10300_title;Óh, fényes!
achievement_10301_desc;Költs el 1,000 meteoritport!
achievement_10301_title;A gyönyörű az új menő
achievement_10302_desc;Költs el 5,000 meteoritport!
achievement_10302_title;Divatmániás
achievement_10303_desc;Költs el 10,000 meteoritport!
achievement_10303_title;Egyszerűen tökéletes!
achievement_10304_desc;Költs el 20,000 meteoritport!
achievement_10304_title;Szivárványkergető
achievement_10400_desc;Költs el 10 jutalompontot!
achievement_10400_title;Tintajelek
achievement_10401_desc;Költs el 50 jutalompontot!
achievement_10401_title;A morzsák útja
achievement_10402_desc;Költs el 100 jutalompontot!
achievement_10402_title;Minden dolog összekapcsolódik
achievement_10403_desc;Költs el 500 jutalompontot!
achievement_10403_title;Faölelő
achievement_10404_desc;Költs el 1,000 jutalompontot!
achievement_10404_title;Összefutnak a pontok
achievement_10501_desc;Fedj fel (Feltár képességgel) 10 lefordított kártyát az online mérkőzések alatt!
achievement_10501_title;Kukucs!
achievement_10502_desc;Fedj fel (Feltár képességgel) 100 lefordított kártyát az online mérkőzések alatt!
achievement_10502_title;Felfedve
achievement_10503_desc;Fedj fel (Feltár képességgel) 500 lefordított kártyát az online mérkőzések alatt!
achievement_10503_title;Nincs hová elbújni
achievement_10504_desc;Fedj fel 1,000 lefordított kártyát az online mérkőzések alatt!
achievement_10504_title;Mindentlátó szem
achievement_10505_desc;Parancsolj 10 egységnek az online mérkőzések alatt!
achievement_10505_title;Szuk formáció
achievement_10506_desc;Parancsolj 100 egységnek az online mérkőzések alatt!
achievement_10506_title;Bal, bal, bal jobb bal!
achievement_10507_desc;Parancsolj 500 egységnek az online mérkőzések alatt!
achievement_10507_title;Vak engedelmesség
achievement_10508_desc;Parancsolj 1,000 egységnek az online mérkőzések alatt!
achievement_10508_title;Kövesd a vezért!
achievement_10509_desc;Semmisíts meg 10 nem emberi egységet az online mérkőzések alatt!
achievement_10509_title;Félelem és rettegés
achievement_10510_desc;Semmisíts meg 100 nem emberi egységet az online mérkőzések alatt!
achievement_10510_title;Valami utolsó szó?
achievement_10511_desc;Semmisíts meg 1,000 nem emberi egységet az online mérkőzések alatt!
achievement_10511_title;Humanista
achievement_10512_desc;Irányíts egyszerre 10 egységet, melynek 10-es ereje van egy online mérkőzés alatt!
achievement_10512_title;10/10
achievement_10513_desc;Töltsd fel mind a két sorodat a táblán egységekkel és/vagy műalkotásokkal.
achievement_10513_title;Kezd itt szűkös lenni
achievement_10514_desc;Használj legalább 1 gúnyolódást 10 különböző online mérkőzésen!
achievement_10514_title;Gyere rám!
achievement_10515_desc;Használj legalább 1 gúnyolódást 100 különböző online mérkőzésen!
achievement_10515_title;Csak ennyit tudsz?
achievement_10516_desc;Használj legalább 1 gúnyolódást 1,000 különböző online mérkőzésen!
achievement_10516_title;Hallgasd az üvöltésem!
achievement_10517_desc;Szerezz 30 pontot egyetlen kör alatt egy online mérkőzésen!
achievement_10517_title;Pörgés van
achievement_10518_desc;Okozz 10 sebzést a saját egységeidnek az online mérkőzések alatt!
achievement_10518_title;Nem fog fájni
achievement_10519_desc;Okozz 100 sebzést a saját egységeidnek az online mérkőzések alatt!
achievement_10519_title;Fájdalom nélkül nincs nyereség
achievement_10520_desc;Okozz 1,000 sebzést a saját egységeidnek az online mérkőzések alatt!
achievement_10520_title;Fegyelem és büntetés
achievement_10521_desc;Nyerj egy fordulót 100, vagy annál több pont különbséggel egy online mérkőzés alatt!
achievement_10521_title;Túlütés
achievement_10522_desc;Nyerd meg az első fordulót egy online mérkőzés alatt úgy, hogy ne maradjon kártya a kezedben!
achievement_10522_title;All in!
achievement_10523_desc;Nyerj meg egy online mérkőzést, miután passzoltad az első fordulót 10 lappal a kezedben!
achievement_10523_title;Rejtett terv
achievement_10524_desc;Nyerj meg egy online mérkőzést, miután felhasználtad az összes második esély által biztosított újrahúzást az első fordulóban!
achievement_10524_title;A legjobbak bent vannak
achievement_10525_desc;Egy kör alatt semmisíts meg 5, vagy több ellenséges egységet egy online mérkőzésen!
achievement_10525_title;Hibátlan kivitelezés
achievement_10526_desc;Húzd fel az egész paklidat és nyerj egy online mérkőzés alatt!
achievement_10526_title;Semmi pazarlás
achievement_10527_desc;Játssz ki 30 arany kártyát az online mérkőzések alatt!
achievement_10527_title;Minőség a mennyiség felett
achievement_10528_desc;Játssz ki 100 prémium kártyát az online mérkőzések alatt!
achievement_10528_title;Minden a zsákmány körül forog
achievement_10529_desc;Nyerj meg egy játékot anélkül, hogy az ellenfed bármelyik kártyáját is megsemmisítenéd!
achievement_10529_title;Képzeld el az összes embert!
achievement_10530_desc;Nyerd meg az utolsó fordulót úgy, hogy az ellenfeled tábláján ne legyen lent kártya egy online mérkőzés alatt!
achievement_10530_title;Megsemmisítés
achievement_10531_desc;Nyerj meg egy mérkőzést olyan paklival, melynek ellátási költsége 100, vagy kevesebb!
achievement_10531_title;Szegény ember Gwentje
achievement_10533_desc;Legyen legalább 5 állapot egy egységen egy online mérkőzés alatt!
achievement_10533_title;Változások!
achievement_10534_desc;Nyerj meg egy online mérkőzést 7 percen belül!
achievement_10534_title;Villan, bumm, tiszta!
achievement_10536_desc;Játssz ki 1,000 kártyát az online mérkőzések alatt!
achievement_10536_title;Millenniumi
achievement_10537_desc;Játssz ki 10,000 kártyát az online mérkőzések alatt!
achievement_10537_title;Kártyavár
achievement_10538_desc;Játssz ki 100,000 kártyát az online mérkőzések alatt!
achievement_10538_title;Minden nap keverek
achievement_10539_desc;Aktiválj 10 Halálvágy képességet az online mérkőzések alatt!
achievement_10539_title;Üss meg!
achievement_10540_desc;Aktiválj 100 Halálvágy képességet az online mérkőzések alatt!
achievement_10540_title;Senkit nem kímélve
achievement_10541_desc;Aktiválj 1,000 Halálvágy képességet az online mérkőzések alatt!
achievement_10541_title;Méltó áldozat
achievement_10542_desc;Tűzvészt alkalmazz egy egységen, melynek ereje legalább 50 egy online mérkőzés alatt!
achievement_10542_title;Minél nagyobb...
achievement_10543_desc;Egy online mérkőzés alatt legyen 0 kártya a kezedben minden forduló végén, és nyerj!
achievement_10543_title;Elfogyott a regiment
achievement_10544_desc;Játssz ki 10 egységet a temetődből az online mérkőzések alatt!
achievement_10544_title;Szokatlan módszerek
achievement_10545_desc;Játssz ki 100 egységet a temetődből az online mérkőzések alatt!
achievement_10545_title;Ez csak egy seb
achievement_10546_desc;Játssz ki 1,000 egységet a temetődből az online mérkőzések alatt!
achievement_10546_title;Valaki orvost említett?
achievement_10547_desc;Nyerj meg egy online mérkőzést, ahol az egyik egységed ereje legalább 50!
achievement_10547_title;Testépítő
achievement_10548_desc;Használj Átalakítást egy kártyán egy online mérkőzés alatt!
achievement_10548_title;Metamorfózis
achievement_10549_desc;Semmisíts meg legalább 3 egységet egy kártyával és nyerj egy online mérkőzés alatt!
achievement_10549_title;Szentháromság
achievement_10550_desc;Cserélj le egy sorra kifejtett állapotot egy eltérő sorra kifejtett állapotra egy online mérkőzés alatt!
achievement_10550_title;Dacolva az elemekkel
achievement_10551_title;Örülök a találkozásnak
achievement_10552_title;Leszel a társam?
achievement_10553_title;Társak a háborúban
achievement_10554_title;Rokonlelkek
achievement_10555_title;Első vér
achievement_10556_title;Vérfürdő
achievement_10557_title;Mészárlás
achievement_10558_title;Hóhér
achievement_10559_title;Detox
achievement_10560_title;Természetes
achievement_10561_title;Tömény
achievement_10562_title;Purista
achievement_10563_title;Zavaros
achievement_10564_title;Felbőszült
achievement_10565_title;Zilált
achievement_10566_title;RAAAARGHHH!!
achievement_10567_title;Hittérítő
achievement_10568_title;Telepes
achievement_10569_title;Gyarmatosító
achievement_10570_title;Impérium
achievement_10571_title;Szervusz, szomszéd!
achievement_10572_title;Az erő a különbségekben rejlik
achievement_10573_title;Egységben az erő
achievement_10574_title;Természet gyermeke
achievement_10575_title;Csak egy kis tűszúrás
achievement_10576_title;Vérfoltos
achievement_10577_title;Véráztatott
achievement_10578_title;Bíbor vérfürdő
achievement_10579_title;Kerek pajzs
achievement_10580_title;Fűtőpajzs
achievement_10581_title;Nagy pajzs
achievement_10582_title;Hordozható fedezék
achievement_10583_title;Csepp a tengerben
achievement_10584_title;Méregkeverő
achievement_10585_title;Gyilkos ízlés
achievement_10586_title;Iokén por
achievement_10587_title;Szolgálatra alkalmas
achievement_10588_title;Dolce Vita [édes élet]
achievement_10589_title;Mintha harang szólna
achievement_10590_title;Várható élettartam: magas
achievement_10591_title;Sebezhető
achievement_10592_title;Tehetetlen
achievement_10593_title;Nyers erő
achievement_10594_title;Pajzstörő
achievement_10595_desc;Semmisíts meg egy Mérgezett egységet anélkül, hogy újabb mérgezést adnál az egységnek!
achievement_10595_title;Nyugtalan orgyilkos
achievement_10596_desc;Nyerj egy játékot Szindikátus képesség használatával anélkül, hogy Érmét használnál!
achievement_10596_title;Nincs pénz, nincs probléma
achievement_10597_desc;Nyerj egy játékot Szindikátus képesség használatával, és maradjon meg 9 Érméd a játék végére!
achievement_10597_title;Mély zsebek
achievement_10598_desc;Nyerj egy játékot Szindikátus képesség használatával, és ne maradjon Érméd a játék végére!
achievement_10598_title;Az utolsó centig
achievement_10599_title;Tékozló
achievement_10600_title;Fösvény
achievement_10601_title;Zsugori
achievement_10602_title;Sóher
achievement_10603_title;Szűkmarkú
achievement_10604_title;Aprópénz
achievement_10605_title;Nehéz erszény
achievement_10606_title;Befektető
achievement_10607_title;Kockázati tőke
achievement_10608_title;Új tag
achievement_10609_title;Szindikátus mellékes
achievement_10610_title;Visszautasíthatatlan ajánlat
achievement_10611_title;Végső illeték
achievement_10612_title;Malacpersely
achievement_10613_title;Halmozó
achievement_10614_title;Raktározó
achievement_10615_title;Menedék
achievement_10620_title;Körözött
achievement_10621_title;Megjelölt
achievement_10622_title;Üldözött
achievement_10623_title;Űzött
achievement_10624_title;Első fizetés
achievement_10625_title;Apró művelet
achievement_10626_title;Elég gazdag
achievement_10627_title;Pénzügyi buborék
achievement_10628_title;Zsarnok
achievement_10629_title;Fegyveres erőszak
achievement_10630_title;Végrehajtó
achievement_10631_title;Izom
achievement_10634_desc;Adj Páncélt egységeknek 10 alkalommal!
achievement_10634_title;Felfűtve!
achievement_10635_desc;Adj Páncélt egységeknek 100 alkalommal!
achievement_10635_title;Víz és nyugalom
achievement_10636_desc;Adj Páncélt egységeknek 500 alkalommal!
achievement_10636_title;Keménység, keménység
achievement_10637_desc;Adj Páncélt egységeknek 1,000 alkalommal!
achievement_10637_title;Edzett acél
achievement_10638_desc;Aktiváld a Barikád képességet 10 alkalommal!
achievement_10638_title;Barikád
achievement_10639_desc;Aktiváld a Barikád képességet 100 alkalommal!
achievement_10639_title;Előőrs
achievement_10640_desc;Aktiváld a Barikád képességet 500 alkalommal!
achievement_10640_title;Erőd
achievement_10641_desc;Aktiváld a Barikád képességet 1,000 alkalommal!
achievement_10641_title;Kastély
achievement_10642_desc;Aktiváld a Védtelen képességet 10 alkalommal!
achievement_10642_title;Csak egy horzsolás
achievement_10643_desc;Aktiváld a Védtelen 100 alkalommal!
achievement_10643_title;Csak egy sérülés
achievement_10644_desc;Aktiváld a Védtelen 500 alkalommal!
achievement_10644_title;Legyőzhetetlen vagyok!
achievement_10645_desc;Aktiváld a Védtelen 1,000 alkalommal!
achievement_10645_title;Leharapom a lábadat!
achievement_10646_desc;Játszd ki az utolsó állapotát a Tükörmesterben található fejlődő kártyáknak 5 alkalommal!
achievement_10646_title;1. szint: Bűnöző
achievement_10647_desc;Játszd ki az utolsó állapotát a Tükörmesterben található fejlődő kártyáknak 50 alkalommal!
achievement_10647_title;10. szint: Bérgyilkos
achievement_10648_desc;Játszd ki az utolsó állapotát a Tükörmesterben található fejlődő kártyáknak 250 alkalommal!
achievement_10648_title;30. szint: Főnök
achievement_10649_desc;Játszd ki az utolsó állapotát a Tükörmesterben található fejlődő kártyáknak 500 alkalommal!
achievement_10649_title;100. szint: Keresztapa
achievement_10650_desc;Okozz sebzést a Fagy hatással 25 alkalommal!
achievement_10650_title;Huts le!
achievement_10651_desc;Okozz sebzést a Fagy hatással 250 alkalommal!
achievement_10651_title;Jéghideg limonádé
achievement_10652_desc;Okozz sebzést a Fagy hatással 1250 alkalommal!
achievement_10652_title;Hűvös vagy, tesó
achievement_10653_desc;Okozz sebzést a Fagy hatással 2500 alkalommal!
achievement_10653_title;Frostpunk
achievement_10654_desc;Aktiváld a Konspiráció képességet 10 alkalommal!
achievement_10654_title;Csak egy összeesküvés elmélet!
achievement_10655_desc;Aktiváld a Konspiráció képességet 100 alkalommal!
achievement_10655_title;Lapos Föld Társaság
achievement_10656_desc;Aktiváld a Konspiráció képességet 500 alkalommal!
achievement_10656_title;Sötét zsaruk
achievement_10657_desc;Aktiváld a Konspiráció képességet 1000 alkalommal!
achievement_10657_title;Új Világrend
achievement_10658_desc;Teremts 10 kóborló entet!
achievement_10658_title;Zöldbe öltözve
achievement_10659_desc;Teremts 100 kóborló entet!
achievement_10659_title;Természet anyjának fia
achievement_10660_desc;Teremts 500 kóborló entet!
achievement_10660_title;Tengerzöld
achievement_10661_desc;Teremts 1000 kóborló entet!
achievement_10661_title;Entek napja
achievement_10662_desc;Teremts 10 önkéntest!
achievement_10662_title;Raj
achievement_10663_desc;Teremts 100 önkéntest!
achievement_10663_title;Század
achievement_10664_desc;Teremts 500 önkéntest!
achievement_10664_title;Zászlóalj
achievement_10665_desc;Teremts 1000 önkéntest!
achievement_10665_title;Dandár
achievement_10666_desc;Teremts 10 Lángoló Rózsa szolgáját!
achievement_10666_title;Lángoló Rózsa szolga
achievement_10667_desc;Teremts 100 Lángoló Rózsa szolgáját!
achievement_10667_title;Lángoló Rózsa lovag
achievement_10668_desc;Teremts 500 Lángoló Rózsa szolgáját!
achievement_10668_title;Lángoló Rózsa tábornagy
achievement_10669_desc;Teremts 1000 Lángoló Rózsa szolgáját!
achievement_10669_title;Lángoló Rózsa nagymester
achievement_10670_desc;Aktiváld a Veterán kulcsszót 10 alkalommal!
achievement_10670_title;Szolga
achievement_10671_desc;Aktiváld a Veterán kulcsszót 100 alkalommal!
achievement_10671_title;Szabad rabszolga
achievement_10672_desc;Aktiváld a Veterán kulcsszót 500 alkalommal!
achievement_10672_title;Szabad ember
achievement_10673_desc;Aktiváld a Veterán kulcsszót 1000 alkalommal!
achievement_10673_title;Királyi testőr
achievement_10674_desc;Játssz ki 10 vajákot!
achievement_10674_title;Elrablás
achievement_10675_desc;Játssz ki 100 vajákot!
achievement_10675_title;Füvek próbája
achievement_10676_desc;Játssz ki 500 vajákot!
achievement_10676_title;Brutális harci kiképzés
achievement_10677_desc;Játssz ki 1,000 vajákot!
achievement_10677_title;Kifejlett szörnyeket ölő vaják
